index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec
5720684,synthetic_4,89,1750890510.9230418,1751154089.4313507,263578.5083088875
5720694,synthetic_4,82,1750890510.923451,1751154089.4313571,263578.5079061985
5720704,synthetic_4,83,1750890510.9237585,1751154089.4313648,263578.5076062679
5720714,synthetic_4,91,1750890510.9242384,1751154089.4313712,263578.50713276863
5720724,synthetic_4,90,1750890510.9246244,1751154089.4313774,263578.50675296783
5720734,synthetic_4,89,1750890510.9249923,1751154089.431384,263578.5063917637
5720744,synthetic_4,83,1750890510.9253676,1751154089.4313917,263578.50602412224
5720754,synthetic_4,97,1750890510.9256425,1751154089.4313982,263578.5057556629
5720764,synthetic_4,90,1750890510.9259167,1751154089.4314044,263578.50548768044
5720774,synthetic_4,82,1750890510.9262075,1751154089.4314108,263578.50520324707
5720784,synthetic_4,84,1750890510.9264796,1751154089.4314167,263578.50493717194
5720794,synthetic_4,83,1750890510.926754,1751154089.431423,263578.50466895103
5720804,synthetic_4,104,1750890510.9270427,1751154089.4314294,263578.50438666344
5720814,synthetic_4,90,1750890510.9273064,1751154089.4314358,263578.5041294098
5720824,synthetic_4,84,1750890510.9275641,1751154089.4314425,263578.503878355
5720834,synthetic_4,101,1750890510.927828,1751154089.4314508,263578.5036227703
5720844,synthetic_4,96,1750890510.928079,1751154089.4314573,263578.50337839127
5720854,synthetic_4,84,1750890510.9283192,1751154089.431464,263578.50314474106
5720864,synthetic_4,84,1750890511.0177732,1751154089.4314702,263578.4136970043
5720874,synthetic_4,88,1750890511.0180368,1751154089.431476,263578.41343927383
5720884,synthetic_4,103,1750890511.0183008,1751154089.4314823,263578.41318154335
5720894,synthetic_4,90,1750890511.018575,1751154089.4314888,263578.4129137993
5720904,synthetic_4,104,1750890511.0188632,1751154089.431495,263578.4126317501
5720914,synthetic_4,84,1750890511.0190983,1751154089.4315016,263578.4124033451
5720924,synthetic_4,95,1750890511.019357,1751154089.4315078,263578.41215085983
5720934,synthetic_4,83,1750890511.019598,1751154089.431514,263578.41191601753
5720944,synthetic_4,91,1750890511.0198777,1751154089.4315202,263578.4116425514
5720954,synthetic_4,96,1750890511.02015,1751154089.4315264,263578.4113764763
5720964,synthetic_4,84,1750890511.0204346,1751154089.4315348,263578.41110014915
5720974,synthetic_4,97,1750890511.020732,1751154089.431541,263578.41080904007
5720984,synthetic_4,82,1750890511.0210364,1751154089.4315474,263578.41051101685
5720994,synthetic_4,98,1750890511.0213315,1751154089.4315536,263578.4102220535
5721004,synthetic_4,83,1750890511.0215955,1751154089.43156,263578.40996456146
5721014,synthetic_4,91,1750890511.0219111,1751154089.431566,263578.4096548557
5721024,synthetic_4,82,1750890511.0223563,1751154089.4315722,263578.4092159271
6126314,synthetic_4,97,1750890511.2215004,1751154089.4315789,263578.21007847786
6126324,synthetic_4,105,1750890511.2217689,1751154089.4315856,263578.20981669426
6126334,synthetic_4,83,1750890511.2219582,1751154089.431592,263578.2096338272
6126344,synthetic_4,97,1750890511.2222266,1751154089.4315987,263578.2093720436
6126354,synthetic_4,96,1750890511.222483,1751154089.431605,263578.20912218094
6126364,synthetic_4,83,1750890511.2227387,1751154089.4316113,263578.2088725567
6126374,synthetic_4,89,1750890511.223026,1751154089.4316192,263578.2085931301
6126384,synthetic_4,89,1750890511.2233193,1751154089.4316251,263578.2083058357
6126394,synthetic_4,84,1750890511.2236116,1751154089.4316313,263578.2080197334
6126404,synthetic_4,102,1750890511.223883,1751154089.4316375,263578.20775461197
6126414,synthetic_4,97,1750890511.2241607,1751154089.431644,263578.2074832916
6126424,synthetic_4,89,1750890511.2244468,1751154089.4316502,263578.2072033882
6126434,synthetic_4,105,1750890511.2247767,1751154089.4316564,263578.2068796158
6126444,synthetic_4,98,1750890511.2251096,1751154089.4316628,263578.20655322075
6126454,synthetic_4,97,1750890511.2252772,1751154089.4316707,263578.2063934803
6126464,synthetic_4,89,1750890511.22544,1751154089.431677,263578.2062370777
6126474,synthetic_4,84,1750890511.2255964,1751154089.4316833,263578.206086874
6126484,synthetic_4,105,1750890511.2257688,1751154089.4316895,263578.20592069626
6126494,synthetic_4,89,1750890511.225934,1751154089.431696,263578.2057619095
6126504,synthetic_4,84,1750890511.2260869,1751154089.4317036,263578.20561671257
6126514,synthetic_4,89,1750890511.2262385,1751154089.43171,263578.20547151566
6126524,synthetic_4,91,1750890511.2263837,1751154089.4317164,263578.20533275604
6126534,synthetic_4,89,1750890511.2265282,1751154089.4317226,263578.20519447327
6126544,synthetic_4,81,1750890511.22668,1751154089.4317288,263578.2050487995
6126554,synthetic_4,96,1750890511.2268257,1751154089.431735,263578.20490932465
6126564,synthetic_4,83,1750890511.226977,1751154089.4317415,263578.20476436615
6126574,synthetic_4,105,1750890511.2271283,1751154089.4317477,263578.20461940765
6126584,synthetic_4,90,1750890511.2272744,1751154089.4317544,263578.2044799328
6126594,synthetic_4,90,1750890511.227421,1751154089.4317603,263578.2043392658
6126604,synthetic_4,104,1750890511.2275777,1751154089.4317667,263578.2041890621
6126614,synthetic_4,96,1750890511.2277274,1751154089.4317734,263578.204046011
6126624,synthetic_4,89,1750890511.227877,1751154089.4317813,263578.20390439034
6126634,synthetic_4,99,1750890511.22803,1751154089.431788,263578.2037580013
6126644,synthetic_4,96,1750890511.228176,1751154089.4317942,263578.2036180496
6126654,synthetic_4,91,1750890511.2283173,1751154089.4318004,263578.2034831047
6126664,synthetic_4,102,1750890511.228468,1751154089.4318066,263578.20333862305
6126674,synthetic_4,104,1750890511.3192194,1751154089.4318144,263578.11259508133
6126684,synthetic_4,91,1750890511.3194673,1751154089.4318209,263578.1123535633
6126694,synthetic_4,83,1750890511.3200297,1751154089.4318275,263578.1117978096
6126704,synthetic_4,84,1750890511.3202667,1751154089.4318335,263578.111566782
6126714,synthetic_4,90,1750890511.3204613,1751154089.4318397,263578.1113784313
6126724,synthetic_4,89,1750890511.3207955,1751154089.4318461,263578.1110506058
6126734,synthetic_4,98,1750890511.3209994,1751154089.4318523,263578.1108529568
6126744,synthetic_4,103,1750890511.3212113,1751154089.431859,263578.1106476784
6126754,synthetic_4,88,1750890511.3214684,1751154089.4318671,263578.1103987694
6126764,synthetic_4,82,1750890511.3217463,1751154089.4318736,263578.1101272106
6126774,synthetic_4,103,1750890511.3219962,1751154089.4318833,263578.1098871231
6126784,synthetic_4,105,1750890511.3222792,1751154089.4318893,263578.1096100807
6126794,synthetic_4,98,1750890511.3226726,1751154089.4318967,263578.10922408104
6126804,synthetic_4,84,1750890511.3229444,1751154089.4319031,263578.10895872116
6126814,synthetic_4,82,1750890511.3232026,1751154089.4319093,263578.1087067127
6126824,synthetic_4,83,1750890511.3234248,1751154089.4319155,263578.1084907055
6126834,synthetic_4,104,1750890511.3237236,1751154089.4319222,263578.10819864273
6126844,synthetic_4,102,1750890511.323918,1751154089.4319286,263578.1080105305
6126854,synthetic_4,97,1750890511.3240762,1751154089.4319353,263578.1078591347
6126864,synthetic_4,83,1750890511.3242495,1751154089.4319417,263578.10769224167
6126874,synthetic_4,96,1750890511.3244116,1751154089.4319477,263578.1075360775
6126884,synthetic_4,89,1750890511.3245676,1751154089.4319575,263578.1073899269
