index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec,merge_timestamp,end_to_end_delay,is_late,is_out_of_order,is_duplicate,is_missing_critical,source_file
2921595,synthetic_5,83,1750889514.2193215,1751153625.2941318,264111.0748102665,1751153627.2749171,1.9807853698730469,1751153633.5301497,264119.3108282089,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921605,synthetic_5,95,1750889514.219588,1751153625.2941377,264111.074549675,1751153627.2749171,1.9807794094085691,1751153633.5301497,264119.31056165695,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921615,synthetic_5,90,1750889514.220147,1751153625.2941434,264111.0739967823,1751153627.2749171,1.980773687362671,1751153633.5301497,264119.3100028038,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921625,synthetic_5,97,1750889514.221177,1751153625.2941496,264111.0729725361,1751153627.2749171,1.9807674884796145,1751153633.5301497,264119.3089725971,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921635,synthetic_5,81,1750889514.221373,1751153625.2941556,264111.0727825165,1751153627.2749171,1.9807615280151367,1751153633.5301497,264119.30877661705,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921645,synthetic_5,103,1750889514.2215617,1751153625.294161,264111.07259964943,1751153627.2749171,1.9807560443878172,1751153633.5301497,264119.30858802795,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921655,synthetic_5,97,1750889514.2217631,1751153625.2941678,264111.07240462303,1751153627.2749171,1.9807493686676023,1751153633.5301497,264119.30838656425,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921665,synthetic_5,83,1750889514.2219648,1751153625.294174,264111.0722091198,1751153627.2749171,1.980743169784546,1751153633.5301497,264119.30818486214,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921675,synthetic_5,83,1750889514.2221715,1751153625.2941802,264111.0720086098,1751153627.2749171,1.9807369709014893,1751153633.5301497,264119.3079781532,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921685,synthetic_5,90,1750889514.222367,1751153625.2941864,264111.0718193054,1751153627.2749171,1.9807307720184328,1751153633.5301497,264119.30778265,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921695,synthetic_5,98,1750889514.2225647,1751153625.294192,264111.07162737846,1751153627.2749171,1.9807250499725344,1751153633.5301497,264119.307585001,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921705,synthetic_5,83,1750889514.222757,1751153625.2941985,264111.07144117355,1751153627.2749171,1.9807186126708984,1751153633.5301497,264119.3073925972,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921715,synthetic_5,83,1750889514.222945,1751153625.2942045,264111.0712594986,1751153627.2749171,1.980712652206421,1751153633.5301497,264119.30720472336,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921725,synthetic_5,95,1750889514.223136,1751153625.294211,264111.0710747242,1751153627.2749171,1.9807062149047847,1751153633.5301497,264119.3070137501,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921735,synthetic_5,96,1750889514.2233331,1751153625.2942169,264111.0708837509,1751153627.2749171,1.980700254440308,1751153633.5301497,264119.3068165779,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921745,synthetic_5,102,1750889514.2235937,1751153625.294223,264111.0706293583,1751153627.2749171,1.980694055557251,1751153633.5301497,264119.3065559864,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921755,synthetic_5,97,1750889514.2237856,1751153625.2942295,264111.07044386864,1751153627.2749171,1.9806876182556152,1751153633.5301497,264119.30636405945,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921765,synthetic_5,84,1750889514.2240417,1751153625.2942357,264111.070194006,1751153627.2749171,1.9806814193725584,1751153633.5301497,264119.3061079979,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921775,synthetic_5,104,1750889514.224276,1751153625.294242,264111.0699658394,1751153627.2749171,1.980675220489502,1751153633.5301497,264119.30587363243,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921785,synthetic_5,103,1750889514.3171246,1751153625.294248,264110.9771232605,1751153627.2749171,1.980669021606445,1751153633.5301497,264119.2130250931,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2921795,synthetic_5,104,1750889514.320901,1751153625.2942543,264110.97335362434,1751153627.2749171,1.980662822723389,1751153633.5301497,264119.2092487812,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802755,synthetic_5,88,1750889514.521726,1751153625.2942607,264110.77253484726,1751153627.2749171,1.980656385421753,1751153633.5301497,264119.00842380524,False,True,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802765,synthetic_5,101,1750889514.5221307,1751153625.294267,264110.7721362114,1751153627.2749171,1.9806501865386963,1751153633.5301497,264119.0080189705,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802775,synthetic_5,96,1750889514.522522,1751153625.2942731,264110.7717511654,1751153627.2749171,1.98064398765564,1751153633.5301497,264119.0076277256,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802785,synthetic_5,83,1750889514.5228784,1751153625.294279,264110.7714009285,1751153627.2749171,1.980638027191162,1751153633.5301497,264119.0072712898,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802795,synthetic_5,82,1750889514.523339,1751153625.2942855,264110.7709465027,1751153627.2749171,1.9806315898895264,1751153633.5301497,264119.00681066513,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802805,synthetic_5,82,1750889514.5238032,1751153625.2942915,264110.7704882622,1751153627.2749171,1.9806256294250488,1751153633.5301497,264119.00634646416,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802815,synthetic_5,103,1750889514.5242088,1751153625.2942977,264110.77008867264,1751153627.2749171,1.980619430541992,1751153633.5301497,264119.00594091415,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802825,synthetic_5,98,1750889514.5246327,1751153625.2943037,264110.7696709633,1751153627.2749171,1.9806134700775144,1751153633.5301497,264119.0055170059,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802835,synthetic_5,97,1750889514.524898,1751153625.29431,264110.7694118023,1751153627.2749171,1.980607032775879,1751153633.5301497,264119.00525164604,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802845,synthetic_5,98,1750889514.525149,1751153625.294316,264110.769166708,1751153627.2749171,1.9806010723114011,1751153633.5301497,264119.0050005913,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802855,synthetic_5,91,1750889514.5254292,1751153625.2943225,264110.76889300346,1751153627.2749171,1.9805946350097656,1751153633.5301497,264119.00472044945,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802865,synthetic_5,83,1750889514.5259085,1751153625.2943282,264110.7684197426,1751153627.2749171,1.9805889129638672,1751153633.5301497,264119.0042412281,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802875,synthetic_5,104,1750889514.5261917,1751153625.2943342,264110.7681427002,1751153627.2749171,1.9805829524993896,1751153633.5301497,264119.00395798683,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802885,synthetic_5,90,1750889514.526425,1751153625.2943406,264110.7679157257,1751153627.2749171,1.980576515197754,1751153633.5301497,264119.00372481346,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802895,synthetic_5,89,1750889514.526661,1751153625.2943466,264110.7676856518,1751153627.2749171,1.9805705547332764,1751153633.5301497,264119.00348877907,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802905,synthetic_5,104,1750889514.5268972,1751153625.2943523,264110.76745533943,1751153627.2749171,1.980564832687378,1751153633.5301497,264119.00325250626,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802915,synthetic_5,89,1750889514.5271316,1751153625.2943587,264110.76722717285,1751153627.2749171,1.9805583953857424,1751153633.5301497,264119.0030181408,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802925,synthetic_5,82,1750889514.527363,1751153625.294365,264110.7670018673,1751153627.2749171,1.980552196502685,1751153633.5301497,264119.00278663635,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802935,synthetic_5,82,1750889514.527589,1751153625.2943711,264110.76678204536,1751153627.2749171,1.980545997619629,1751153633.5301497,264119.00256061554,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
