pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,t_bucket
consumer-sts-0,skew,B0-R100-20260224-010807_0,441,37,7.35,30.0,210,978.978,1641.834,6.4,14.6,1171.155,7.0,2.0,2.0,8136,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1170
consumer-sts-0,skew,B0-R100-20260224-010807_0,420,21,7.0,30.0,207,546.974,1058.51,6.5,14.6,1201.186,5.0,3.0,4.2,8343,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1200
consumer-sts-0,skew,B0-R100-20260224-010807_0,423,59,7.05,30.0,216,5720.741,9949.453,6.3,14.6,1231.214,4.0,1.0,1.75,8560,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1230
consumer-sts-0,skew,B0-R100-20260224-010807_0,441,65,7.35,30.0,222,641.215,1324.495,6.5,14.6,1261.243,7.0,2.0,2.0,8784,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1260
consumer-sts-0,skew,B0-R100-20260224-010807_0,422,25,7.033333,30.0,191,1280.367,1456.125,7.7,14.6,1291.272,7.0,3.0,3.0,8975,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1290
consumer-sts-0,skew,B0-R100-20260224-010807_0,403,21,6.716667,30.0,209,650.187,863.623,7.9,14.7,1321.303,5.0,2.0,2.8,9184,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1320
consumer-sts-0,skew,B0-R100-20260224-010807_0,439,20,7.316667,30.0,228,1084.206,1512.101,7.0,14.7,1351.334,3.0,2.0,4.666667,9412,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1350
consumer-sts-0,skew,B0-R100-20260224-010807_0,447,25,7.45,30.0,218,626.156,1397.932,7.5,14.7,1381.364,3.0,2.0,4.666667,9630,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1380
consumer-sts-0,skew,B0-R100-20260224-010807_0,428,18,7.133333,30.0,210,435.7,1295.12,6.7,14.7,1411.394,5.0,2.0,2.8,9840,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1410
consumer-sts-0,skew,B0-R100-20260224-010807_0,413,16,6.883333,30.0,203,719.87,1289.237,7.8,14.6,1441.425,2.0,1.0,3.5,10043,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1440
consumer-sts-0,skew,B0-R100-20260224-010807_0,448,20,7.466667,30.0,245,737.817,1094.425,6.9,14.6,1471.455,10.0,4.0,2.8,10288,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1470
consumer-sts-0,skew,B0-R100-20260224-010807_0,463,28,7.716667,30.0,217,995.933,1683.373,6.9,14.6,1501.486,6.0,3.0,3.5,10505,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1500
consumer-sts-0,skew,B0-R100-20260224-010807_0,439,20,7.316667,30.0,222,566.693,828.769,6.5,14.6,1531.516,7.0,2.0,2.0,10727,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1530
consumer-sts-0,skew,B0-R100-20260224-010807_0,456,19,7.6,30.0,234,973.651,1512.697,7.5,14.6,1561.546,3.0,1.0,2.333333,10961,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1560
consumer-sts-0,skew,B0-R100-20260224-010807_0,447,38,7.45,30.0,211,1311.707,1563.874,8.0,14.6,1591.567,9.0,2.0,1.555556,11172,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1590
consumer-sts-0,skew,B0-R100-20260224-010807_0,403,36,6.716667,30.0,191,1094.25,1376.621,7.0,14.6,1621.597,3.0,2.0,4.666667,11363,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1620
consumer-sts-0,skew,B0-R100-20260224-010807_0,397,27,6.616667,30.0,206,1020.786,1255.015,6.7,14.6,1651.628,4.0,1.0,1.75,11569,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1650
consumer-sts-0,skew,B0-R100-20260224-010807_0,423,30,7.05,30.0,215,1052.492,1522.461,6.8,14.6,1681.658,5.0,2.0,2.8,11784,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1680
consumer-sts-0,skew,B0-R100-20260224-010807_0,436,30,7.266667,30.0,221,800.36,1418.523,6.6,14.6,1711.686,4.0,1.0,1.75,12005,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1710
