index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec,merge_timestamp,end_to_end_delay,is_late,is_out_of_order,is_duplicate,is_missing_critical,source_file
2897612,synthetic_2,87,1750889547.121575,1751153790.7106051,264243.5890300274,1751153795.5536969,4.843091726303101,1751153798.4378092,264251.3162341118,True,True,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
3029672,synthetic_2,104,1750889547.1218033,1751153790.7106135,264243.58881020546,1751153795.5536969,4.843083381652832,1751153798.4378092,264251.3160059452,True,False,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
2897622,synthetic_2,88,1750889547.1222637,1751153790.7106202,264243.5883564949,1751153795.5536969,4.843076705932617,1751153798.4378092,264251.31554555893,True,True,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
3029682,synthetic_2,84,1750889547.1221418,1751153790.710628,264243.5884861946,1751153795.5536969,4.843068838119507,1751153798.4378092,264251.3156673908,True,False,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
2897632,synthetic_2,84,1750889547.1226451,1751153790.7106347,264243.5879895687,1751153795.5536969,4.843062162399292,1751153798.4378092,264251.3151640892,True,True,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
3029692,synthetic_2,90,1750889547.122377,1751153790.7106416,264243.5882647037,1751153795.5536969,4.843055248260498,1751153798.4378092,264251.3154323101,True,False,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
2897642,synthetic_2,105,1750889547.1230998,1751153790.7106483,264243.58754849434,1751153795.5536969,4.843048572540283,1751153798.4378092,264251.314709425,True,True,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
3029702,synthetic_2,82,1750889547.122617,1751153790.7106552,264243.5880382061,1751153795.5536969,4.843041658401489,1751153798.4378092,264251.3151922226,True,False,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
2897652,synthetic_2,102,1750889547.12354,1751153790.7106614,264243.58712148666,1751153795.5536969,4.843035459518433,1751153798.4378092,264251.3142693043,True,True,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
3029712,synthetic_2,104,1750889547.1228738,1751153790.7106678,264243.5877940655,1751153795.5536969,4.843029022216797,1751153798.4378092,264251.3149354458,True,False,False,False,consumer_pod0_proc0_20250628_233630_712871.csv
