index,producer_timestamp,consumer_receive_timestamp,end_to_end_latency_seconds,size_bytes,msg_rate_per_sec,mb_rate_per_sec,is_out_of_order,is_duplicate,source_file,is_late,merge_timestamp,end_to_end_delay_ms
219574,1752520333.7122862,1752702159.8628423,181826.1505560875,b'122',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871422.85203934
217124,1752520333.7482164,1752702159.8628497,181826.11463332176,b'122',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871386.92188263
219584,1752520333.746703,1752702159.8628564,181826.11615347865,b'139',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871388.43536377
217134,1752520333.7830791,1752702159.8628638,181826.07978463173,b'122',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871352.0591259
219594,1752520333.7810175,1752702159.8628714,181826.08185386655,b'121',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871354.12073135
217144,1752520333.8184774,1752702159.8628788,181826.04440140724,b'135',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871316.66088104
219604,1752520333.815374,1752702159.862888,181826.0475142002,b'120',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871319.7643757
217154,1752520333.853707,1752702159.862896,181826.0091888905,b'127',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871281.43119812
219614,1752520333.8497734,1752702159.862903,181826.01312971115,b'134',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871285.36486626
217164,1752520333.8892846,1752702159.8629105,181825.9736258984,b'129',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871245.8536625
219624,1752520333.8842025,1752702159.8629184,181825.9787158966,b'143',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871250.93579292
