index,delay_sec,size_bytes,recv_timestamp,sent_timestamp,topic
1712,0.12737131118774414,94,1748878366.9624703,1748878366.835099,synth_2
1713,0.1277468204498291,94,1748878367.5907044,1748878367.4629576,synth_3
1714,0.1713113784790039,99,1748878368.2620652,1748878368.0907538,synth_4
1715,0.16532444953918457,86,1748878368.927506,1748878368.7621815,synth_5
1716,0.16531586647033691,81,1748878369.5931036,1748878369.4277878,synth_6
1717,0.16522526741027832,101,1748878370.2585392,1748878370.093314,synth_7
1718,0.12775039672851562,100,1748878370.8865666,1748878370.7588162,synth_8
1719,0.1279287338256836,93,1748878371.5146751,1748878371.3867464,synth_9
1720,0.17122483253479004,93,1748878372.1857488,1748878372.014524,synth_0
1721,0.1650679111480713,87,1748878372.850711,1748878372.6856432,synth_1
1722,0.12808752059936523,102,1748878373.479222,1748878373.3511345,synth_2
1723,0.127946138381958,98,1748878374.1076577,1748878373.9797115,synth_3
1724,0.17181062698364258,94,1748878374.7796366,1748878374.607826,synth_4
1725,0.16517877578735352,88,1748878375.4443595,1748878375.2791808,synth_5
1726,0.16563630104064941,93,1748878376.109925,1748878375.9442887,synth_6
1727,0.16513776779174805,81,1748878376.775215,1748878376.6100771,synth_7
1728,0.12758898735046387,88,1748878377.4031687,1748878377.2755797,synth_8
1729,0.12754011154174805,99,1748878378.0309467,1748878377.9034066,synth_9
1730,0.17070794105529785,101,1748878378.7019448,1748878378.531237,synth_0
1731,0.16516518592834473,95,1748878379.3675604,1748878379.2023952,synth_1
1732,0.12777161598205566,101,1748878379.9955757,1748878379.867804,synth_2
1733,0.1278209686279297,88,1748878380.6236336,1748878380.4958127,synth_3
1734,0.1710798740386963,86,1748878381.295095,1748878381.124015,synth_4
1735,0.1652538776397705,79,1748878381.9605079,1748878381.795254,synth_5
1736,0.16507911682128906,99,1748878382.6257162,1748878382.460637,synth_6
1737,0.1648099422454834,101,1748878383.2902732,1748878383.1254632,synth_7
1738,0.12759137153625488,94,1748878383.9183457,1748878383.7907543,synth_8
1739,0.12750959396362305,81,1748878384.5460525,1748878384.4185429,synth_9
1740,0.1706836223602295,85,1748878385.216896,1748878385.0462124,synth_0
1741,0.16646194458007812,94,1748878385.8835983,1748878385.7171364,synth_1
1742,0.12757492065429688,102,1748878386.5114586,1748878386.3838837,synth_2
1743,0.12758684158325195,81,1748878387.1393564,1748878387.0117695,synth_3
1744,0.17142391204833984,94,1748878387.8109396,1748878387.6395156,synth_4
1745,0.16534757614135742,93,1748878388.4762106,1748878388.310863,synth_5
1746,0.165327787399292,90,1748878389.1416078,1748878388.97628,synth_6
1747,0.16516566276550293,81,1748878389.8069808,1748878389.6418152,synth_7
1748,0.12771201133728027,81,1748878390.4348614,1748878390.3071494,synth_8
1749,0.1281139850616455,79,1748878391.0632095,1748878390.9350955,synth_9
1750,0.17128276824951172,94,1748878391.7349517,1748878391.563669,synth_0
1751,0.16547584533691406,81,1748878392.4003022,1748878392.2348263,synth_1
1752,0.12819123268127441,93,1748878393.0286236,1748878392.9004323,synth_2
1753,0.12787795066833496,87,1748878393.6565304,1748878393.5286524,synth_3
1754,0.17171192169189453,101,1748878394.3282936,1748878394.1565816,synth_4
1755,0.1654965877532959,100,1748878394.9934065,1748878394.82791,synth_5
1756,0.16552400588989258,87,1748878395.6589909,1748878395.4934669,synth_6
1757,0.16539335250854492,102,1748878396.324475,1748878396.1590817,synth_7
1758,0.1279129981994629,76,1748878396.952738,1748878396.824825,synth_8
1759,0.12836027145385742,91,1748878397.5811884,1748878397.4528282,synth_9
1760,0.1715381145477295,86,1748878398.252473,1748878398.080935,synth_0
1761,0.1654043197631836,100,1748878398.9178307,1748878398.7524264,synth_1
1762,0.12768149375915527,88,1748878399.545724,1748878399.4180424,synth_2
1763,0.12799811363220215,95,1748878400.1741767,1748878400.0461786,synth_3
1764,0.17159652709960938,94,1748878400.845984,1748878400.6743875,synth_4
1765,0.16530990600585938,87,1748878401.5112822,1748878401.3459723,synth_5
1766,0.16557812690734863,87,1748878402.1772318,1748878402.0116537,synth_6
1767,0.16515398025512695,94,1748878402.842731,1748878402.677577,synth_7
1768,0.1279149055480957,100,1748878403.470952,1748878403.3430371,synth_8
1769,0.12810897827148438,84,1748878404.099249,1748878403.97114,synth_9
1770,0.17183709144592285,95,1748878404.7709706,1748878404.5991335,synth_0
1771,0.16564083099365234,101,1748878405.436388,1748878405.2707472,synth_1
