t_bucket,throughput,p99_pods_max_ms,p99_pods_med_ms,viol_rate,lag_skew_ratio,true_p99_ms,true_max_ms,true_viol_rate,hot_part_p99_ms,run_id,label,traffic_mode,skew_fraction,skew_partitions,hot_partition,hot_consumer
1650,,,,,,348150.8128833771,348162.80817985535,0.42168674698795183,348159.4436454773,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1680,,,,,,352703.46311330795,353368.27278137207,0.33783783783783783,353222.5610733032,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1710,,,,,,358131.01168155676,358242.653131485,0.4177215189873418,358205.4393148422,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1740,,,,,,365624.74169731146,365626.4164447784,0.26744186046511625,365626.081495285,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1770,,,,,,373985.15095710754,374043.8120365143,0.28125,374031.46233558655,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1800,275.816667,14592.957,1011.925,0.364614176083147,3.17648175,379560.6231689453,379867.2726154328,0.3076923076923077,379792.313861847,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1830,,,,,,386658.413169384,386789.8030281067,0.40816326530612246,386757.2941970825,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1860,,,,,,391502.12361335754,393055.9241771698,0.2835820895522388,392773.4149837494,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1890,,,,,,400660.01896858215,400678.7054538727,0.38271604938271603,400674.9681568146,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1920,,,,,,404629.99874830246,404674.8857498169,0.32142857142857145,404665.69202661514,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1950,,,,,,412409.9232649803,412410.3560447693,0.32142857142857145,412410.2569746971,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1980,,,,,,416313.77874851227,418910.8738899231,0.38571428571428573,418158.09268951416,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2010,,,,,,421682.34714746475,421716.1946296692,0.3611111111111111,421707.13685274124,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2040,,,,,,431235.4088616371,431262.5069618225,0.4431818181818182,431255.03162384033,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2070,,,,,,437863.1297111511,437880.0206184387,0.3333333333333333,437875.7978916168,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2100,,,,,,444148.68596315384,445016.8964862824,0.4024390243902439,444813.2421660424,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
